id	collectible	slug	classId	multiClassIds	spellSchoolId	cardTypeId	cardSetId	rarityId	artistName	manaCost	name	text	image	imageGold	flavorText	cropImage
55035	1	"55035-embiggen"	2	[]	4	5	1347	4	"Kagi"	0	"거대화"	"내 덱에 있는 모든 하수인에게 +2/+2를 부여하지만 비용을 (1) 증가시킵니다. <i>(최대 10)</i>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/46463331d98be89306d93f7d71c7d25728a831332259ea24982d068716a1a469.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/34d942cffc96f9d7a4fe57e74dabd32b7c9ba7ece415afb71a822c50a784ea3e.png"	"덩치도 비용도 공평하게 거대해집니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7d5727224aa7670805780bad9042a5eb193c2cb5a5d477417a48dd182a3e7fbe.png"
54891	1	"54891-dark-skies"	9	[]	7	5	1347	4	"Daria Tuzova"	3	"검은 하늘"	"무작위 하수인에게 피해를 1 줍니다. 내 손에 있는 카드의 수만큼 반복합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/84f591602060d404ab5f91d45c09837360e4281dd848e4790b70ed7f93f0693f.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/31cd50268616784252be91b9c8f617803dd5f2ce6e426e2b8cae67eed46c0f96.png"	"\"...이제 여기에 불꽃을 한 움큼 뿌려주세요.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f55c5323c192325158c91020e5c5bb9359cf553c910edfda87ec0e1e7d5e38b9.png"
90678	1	"90678-blackrock-n-roll"	10	[]	2	5	1809	5	"Alex Horley Orlandelli"	5	"검은바위 로큰롤"	"내 덱에 있는 모든 하수인에게 그 비용만큼 공격력과 생명력을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1429acd66902474646f9a598d7dfc11b205bef6d23af0f8c1b7d8d5076c2154b.png"	""	"이름이 검은흉터 산은 아니라서 참 다행입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4f147c6c561dd3c38c77bbd17a6cddbb9328a41072b21db4a5aa00174b32761d.png"
56467	1	"56467-torrent"	8	[]	4	5	1414	3	"Dave Allsop"	4	"격류"	"하수인에게 피해를 8 줍니다. 내가 이전 턴에 주문을 시전했다면, 비용이 (3) 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ce390b9f8c6cb03b5cd8206f6506d7967eb38d631c96014775f74c9be59b56fb.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a24cf891524c5baaee7eaebde24fbb4e4ccae1fe3719dce898e32ac129183ad6.png"	"수중에서의 혹독한 수련을 거쳐 4연장 물대포 발사법을 터득했다고 하네요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/752f15b1587b14f3f642bf5e1b8bed946f3daf568350de235998b521e037442d.png"
55036	1	"55036-aeroponics"	2	[]	4	5	1347	3	"Sam Nielson"	5	"공중 재배"	"카드를 2장 뽑습니다. 내 나무정령 하나당 비용이 (2)씩 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c0e95e2f91c84d71461e73b997a12c42fdd000ceefece8923b513a1353891c3c.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2f59dca0814e55ed6390b22eebeee3b9e2d15f426179951503d3daadaef596a7.png"	"될성부른 나무정령은 떡잎부터 알아본다고 하죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/01f1348a5ac3a2fa59b84524f548c82963a3ac003936bf8065f7d62e24202730.png"
50004	1	"50004-void-contract"	9	[]	6	5	1129	4	"Alex Horley Orlandelli"	8	"공허의 서약"	"각 플레이어의 덱을 절반씩 파괴합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f5f65e680f70a95891ec622f124fee6a786d0ee9436c91621d72f74ef953b9b9.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c793c328d3f2c70fb5dbde7eba0f5c6d5a696fc90ff31e31066a89d6c16f3f72.png"	"\"이 주문을 시전하면 덱의 절반은 살아남을 것이다.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0bc0662fa60d0d5812ea5d31dd8a43b28fae45941a48071e5ecb7ec8e58453bb.png"
50282	1	"50282-surrender-to-madness"	6	[]	6	5	1129	4	"Maria Trepalina"	3	"광기에 굴복하라"	"내 마나 수정을 3개 파괴합니다. 내 덱에 있는 모든 하수인에게 +2/+2를 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2ca2805460d0f022258da3f96aac3c47cc0c20ff6b67a09b636c11492e6bbffd.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fd9f5029e38bb9470b0b7d950f885e4b5b6c3b141200c7ad6bb74d8ea5c74ecf.png"	"포기하지 마세요. 굴복하세요!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d7c2ed72d5d7eabd2e67d02248d8a1731d50691e9a9860a245c0f9279b4901a6.png"
40373	1	"40373-potion-of-madness"	6	[]	6	5	25	1	"Arthur Bozonnet"	1	"광기의 물약"	"공격력이 2 이하인 적 하수인을 이번 턴에만 조종합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/552845d402f2a5aeedf0e92acb47a8cba48dff0bb3fafe9d915a45e777c8167b.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2d2a40dbd0ad630cb20b51ebe7a394843caaf1fc9e250a7d9b19647a73f1a30f.png"	"이 좋은 걸 마시지 않다니 미친 게 분명해요!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/060fa2795466cd0e89f0b71a0ba495ecf737c21beee37246d451aef0cd3c07f9.png"
98278	1	"98278-monstrous-form"	9	[]	6	5	1858	1	"Grafit "	1	"괴물 형상"	"내 다음 턴까지 아군 하수인에게 +3/+3을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c80537a2bc00f3bd634143c032d984f3478e5e018c12448c78e9301e5e7692c5.png"	""	"그 후에는 끔찍한 모습으로 살아갑니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b5a27f57a94b81c7735a139fef0fd06bdf05dc0f7efae2625710943f73d2fbd2.png"
50278	1	"50278-seance"	6	[]	6	5	1129	1	"Skan Srisuwan"	2	"교령"	"하수인을 선택합니다. 그 카드를 복사하여 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1d42dfec837fd22bbf3f047a332df3d79d852451e25070e6ebb01b90f0bffb3d.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a81dbe4687d54de6065c832c0e43a57a8176933b893e2d0034a5264a751e23ac.png"	"\"혼령들이 내게 말을 했다네.\" \"뭐라고 말했는가?\" \"두 턴 전에 킬각이었는데 자네가 놓쳤다고.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1057222e92f0eeb967f84dad561a095a922ba1077fe24e62c7107da6a0e700c6.png"
