id	collectible	slug	classId	multiClassIds	spellSchoolId	cardTypeId	cardSetId	rarityId	artistName	manaCost	name	text	image	imageGold	flavorText	cropImage	childIds	keywordIds
51779	1	"51779-blessing-of-the-ancients"	2	[]	4	5	1130	1	"Steven Prescott"	3	"고대의 축복"	"<b>이중 주문</b> 내 하수인들에게 +1/+1을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/50dad3c9315eaf8af3d146b79b021b54972d193a52651ba2c3673d53e14a8c26.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0e7d30f40ebfa00dafb6cdd16c5c50bb4628bd5a04dba849c221cdf8fa412ac5.png"	"매우 깜찍한 축복입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b14db57d7729c78f05c624cf29aa8868ba843ea6796010b53a0c2fd3fbdda853.png"	[54128]	[76]
55250	1	"55250-awaken"	10	[]	2	5	1347	1	"Slawomir Maniak"	3	"깨어나라!"	"갈라크론드의 강림을 <b>기원</b>합니다. <b>모든</b> 하수인에게 피해를 1 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e4924116554e099609950eedd199adbc4263d8c9981db2a4751d8d30b89eb657.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3ff9c79c5eed7de4b95c67fdf402dadd89b597bc5e49f8d0a66e446b85b25949.png"	"절대 무시할 수 없는 모닝콜입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/debb04bf0563fa609c93ad5408a89c754157291e247f832e6f073e12e0ebffbf.png"	[55805,57413,57414,57415,55819]	[79]
98565	1	"98565-bellowing-flames"	10	[]	2	5	1858	1	"Jason Kang"	3	"날뛰는 불길"	"하수인에게 피해를 5 줍니다. <b>제련:</b> 그 후에 모든 적 하수인에게 5의 피해를 나누어 입힙니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a0ee64f076219d1a57953bfa748e7cf2847ec9da843bc0cd69b6774156414780.png"	""	"산소 공급이 과했지만, 불꽃이 부족합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b6b5b0d2a287d811717efb8c48c6cd96abcf85aceb1006c12f12577db9244260.png"	[98566]	[266]
55248	1	"55248-invocation-of-frost"	8	[]	3	5	1347	1	"Ludo Lullabi"	1	"냉기의 기원"	"적을 <b>빙결</b> 상태로 만듭니다. 갈라크론드의 강림을 <b>기원</b>합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/29da769c943fae03a9c128290b9b5a4b0b4e75698a2276229db0552246607a47.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5d458960f2da43719bf8328134965cfc7ca91aa014dcf29cd5d2971dd0757a91.png"	"과연 냉기 술사 붐은...?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/286bb0c663faada6c06f63e117958443ff38ed0313e0743fa575775643da786b.png"	[55808,57427,55809,57432,57433,55819,57434,57435,57436]	[10,79]
98123	1	"98123-molten-rune"	4	[]	2	5	1858	1	"Konstantin Turovec"	3	"녹아내린 룬"	"피해를 3 줍니다. 무작위 주문을 얻습니다. <b>제련:</b> 2번 시전합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ad994e3db931d3a374311f470559726feda1b37c25c54869e5c4da5169dbe6d0.png"	""	"탈고대근대주의 현실적 신고전 인상주의 예술이랍니다. 무슨 뜻인지 잘 이해는 되지 않지만요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/147be895084c90b89bfe2d85b07e662ab3422289aad8eef17d8a9bd133691adc.png"	[98124]	[266]
57950	1	"57950-deep-freeze"	4	[]	3	5	1414	3	"Jim Nelson"	8	"동결"	"적을 <b>빙결</b> 상태로 만듭니다. 3/6 물의 정령을 둘 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/048cf9b2b747deb37e4c31656e8937a62601bdd119a1c46a9a26009057e06f4d.png"	""	"\"사티로스와 함께 춤을\"에 야심차게 출연했지만, 현장 분위기는 차가웠다고 하네요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a0e30aecfd85f388f0a323c84100a282d74675e99d2eaf92e5b08c9077b22584.png"	[395]	[10]
94201	1	"94201-drum-circle"	2	[]	4	5	1809	3	"BOSi Studio"	7	"드럼 연주단"	"<b>선택 -</b> 2/2 나무정령을 다섯 소환합니다. 또는 내 하수인들에게 +2/+4와 <b>도발</b>을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2901edd0ab73204bc2cdf45f97fa84df1751fcf4fefd631d4b398782348ee680.png"	""	"주위의 꽃들이 얼마나 잘 자랐는지를 보면 드럼 실력을 가늠할 수 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3c30e39db8f93051407c519c4b09dd7313a38765e882a5d75ed02ee38ac38365.png"	[91248]	[1]
55039	1	"55039-treenforcements"	2	[]	4	5	1347	3	"Jim Nelson"	1	"목재 지원"	"<b>선택 -</b> 하수인에게 생명력 +2와 <b>도발</b>을 부여합니다. 또는 2/2 나무정령을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/90b72cf5a00792fe84a4a544717974bc9d0cee4fecb332d7dd9e2f936090ac95.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/26881ba9c51f0ef19e77c577f8c7962b6a9637465a3b744bc88f6f0bad5e567e.png"	"이래서 나무정령은 쓰임새가 참 많다니까요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0ddb1257082ca6af034aa36f7564dcb8cdd67dfa6f13dd40530203deab574851.png"	[56371]	[1]
40409	1	"40409-potion-of-polymorph"	4	[]	1	5	25	3	"Arthur Bozonnet"	3	"변이 물약"	"<b>비밀:</b> 상대편이 하수인을 낸 후에, 그 하수인을 1/1 양으로 변신시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9aaeff54b2be6399c61968660dad9148ccc703ae12e085b1db2bd3c78c0c51ee.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5029fbaa1dafd5afed109e9a2a3247351ece89268d8f15c313ecc99db27550e9.png"	"실제 효과는 '상대편이 티리온 폴드링을 낸 후에, 그 티리온 폴드링을 1/1 양으로 변신시킵니다.'입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/520437da27bb4a997ecaecb8773955c66fcb12a6f67b0dc9c81a6b56d07704ff.png"	[796]	[5]
2542	1	"2542-polymorph-boar"	4	[]	1	5	15	3	"Mike Sass"	3	"변이: 멧돼지"	"하수인을 <b>돌진</b> 능력이 있는 4/2 멧돼지로 변신시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e526eb6a564b45c675d48a36b63881a94347e9c35d63ce9700b8636d465708b7.png"	""	"걱정마세요. 레오크는 나오지 않습니다. 진짜로요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5911e15a79e2972c83d5af5bfd88d76883565346a4479a72f0d2e40de6bf2e58.png"	[2543]	[4]
