id	collectible	slug	classId	multiClassIds	spellSchoolId	cardTypeId	cardSetId	rarityId	artistName	manaCost	name	text	image	imageGold	flavorText	cropImage	childIds
56680	1	"56680-overgrowth"	2	[]	4	5	1414	1	"Armand Serrano"	4	"과성장"	"빈 마나 수정을 2개 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/39dc00bfae237e8e786e3131c9a12baad89dea7e1f5b14c11ea77f1443eb954e.png"	""	"장가르 습지대: 늪 밖은 위험해!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4854359e34a0109941123dead9745c035e4d9a42a42cdefdcf8c7448b4743757.png"	[1725]
51371	1	"51371-rafaams-scheme"	9	[]	2	5	1130	1	"Jim Nelson"	3	"라팜의 계략"	"1/1 임프를 1마리 소환합니다. <i>(내 턴마다 강화됩니다!)</i>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/055b6f6fb27cc5ece60df23a7eaebfcf0c251eee073a146c2dd335cbc77780d7.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c86edf6700501d7770763e391e89bef72b1ce257e314c7bd576b6771ebaca6ca.png"	"\"나에게 아주 악하고 교활한 계략이 있으니...\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e2289d1ed2f7c3d9012a5243ea51a68728b4f42d3721d3f65ceda8324532535d.png"	[53305]
50042	1	"50042-mark-of-the-loa"	2	[]	4	5	1129	3	"Mauricio Herrera"	4	"로아의 징표"	"<b>선택</b> - 하수인에게 +2/+4와 <b>도발</b>을 부여합니다. 또는 3/2 랩터를 2마리 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6a5eeb8bb439fc301d207cd465adac3cf45b64d628ba7509fa39ba2aaf69f09e.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c3ceb4d045b47b79eb90de5037df453074b2d5ea163b31e67e90ba225e6fe85e.png"	"징표의 로아인 로아의 징표입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5144fcc7d46ac65eb499e279c1d8bb9edee1328424be10cc47777b8052fd7363.png"	[51109]
47553	1	"47553-witchwood-apple"	2	[]	4	5	1125	1	"Vlad Botos"	1	"마녀숲 사과"	"2/2 나무정령 둘을 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ec5bf300f011dfa3d674fd2dcb419b41bab9899b2570a6b0004bcc4211569b96.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/214ab6a4be9b40a7a2b2a201471df2bea14c761d31744ad390de5e0a0d49b11c.png"	"하루에 사과 하나면 늑대인간도 물리칠 수 있답니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5b847551ee9fdaf048dadba298fe3ec2ea8d0f837dc263faf057af36f63dad1f.png"	[48911]
94251	1	"94251-rhythm-and-roots"	2	[]	4	5	1809	5	"L. Lullabi & K. Turovec"	4	"박자와 뿌리"	"<b>(비밀) 선택 -</b> 2턴 후에, 5/5 고대정령을 셋 소환합니다. 또는 4턴 후에, 8/8 거인을 셋 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6b54d79e3edd12ee406bef9e0d4aa4e0c31626a6b10e63964399a916e8c23532.png"	""	"조크는 최신곡에서 뿌리를 찾기를 택했습니다. 나무뿌리처럼 말이죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/460f8ed05799849451f106c0a0e217f8e5c83915a703c4015066ca5cde17e6b3.png"	[97612,97613]
2792	1	"2792-living-roots"	2	[]	4	5	15	1	"Dan Brereton"	1	"살아있는 뿌리"	"<b>선택 -</b> 피해를 2 줍니다. 또는 1/1 묘목을 둘 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/aa914645a3ad03eead71e1f885e7ea442ea73e7120cf4951948b1530e8b7313f.png"	""	"당연히 묘목을 소환해야죠. 얼마나 귀엽습니까."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4cdcdf647dde37b0a3737507c6afd25d84e6f6cb6d689213c07720d6e33d7776.png"	[2790]
97627	1	"97627-frost-lotus-seedling"	2	[]	4	5	1858	3	"Melvin Chan"	3	"서리 연꽃 묘목"	"카드를 뽑습니다. 방어도를 +5 얻습니다. <i>( 턴 후에 만개합니다.)</i>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ee68719f96246ecda3e4c3aaa860f6ae3684032f36c3e43dfc7d1b9d3482d0a7.png"	""	"개노잼 카드 개그를 시전합니다. <i>(확장팩 3개 후에 빵터집니다.)</i>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/09fd8f94983283a4b10cd03df853bb4180d788bac3222ad3db6a43256d6a6fca.png"	[97628]
47063	1	"47063-wispering-woods"	2	[]	4	5	1125	4	"Max Grecke"	4	"속삭이는 숲"	"내 손에 있는 카드 1장당 1/1 위습을 1마리씩 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c724f1808d0e485eea93f0bb016c53fe615af83fc3146e0ef7ef7c445c835964.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cfd623c30f370392ceef9d8549723b09cc4a64e106c4cc17858477d297ddf1ca.png"	"예전에 \"하일 하이드라.\"라고 속삭이던 녀석이 아직도 있나봅니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3b6c85ffaa7b6d63ba41b2fc9318f53c39f4be3e4bc428f10ff91f9f5ef5cd0d.png"	[49149]
51769	1	"51769-crystal-power"	2	[]	4	5	1130	1	"Arthur Bozonnet"	1	"수정의 힘"	"<b>선택 -</b> 하수인에게 피해를 2 줍니다. 또는 생명력을 5 회복시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/27ed52b6a428fbe08fc67e189c0242ccc4d5b927ce1452cb4079869c94e86eca.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d2e54a3667ac835c30e7858a87c084a770c4f526179056052ffb20cc7e1b9f80.png"	"치유의 수정이지만 그냥 던져도 쓸만합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9d93e046a30e11aedd13c1efbef4f1449296337229d9e0d7e20c89d747c11e9b.png"	[51773,51775]
46864	1	"46864-fiendish-circle"	9	[]	7	5	1125	1	"Ivan Fomin"	3	"임프 소환진"	"1/1 임프를 넷 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d510afd02bf5ef20b03609c03c36870734b9994f449f5337352afccaeec42fa4.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/19eaaf6772742742bbcebc65f3aecde02fc8d47c07005299cc41d6daf5ed0353.png"	"폭발하진 않지만 언제나 네 마리가 나옵니다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f67fb1880f111b9f028333d7245234d44d62a8cb96458169a254e1b25178ba27.png"	[47502]
56394	1	"56394-libram-of-justice"	5	[]	5	5	1414	1	"Wayne Wu"	5	"정의의 성서"	"1/4 무기를 장착합니다. 모든 적 하수인의 생명력을 1로 바꿉니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/46ee3229afde9b781ca38eee9f37d7ff03ba38ad050dec9b98c6b8976b8c0d42.png"	""	"\"아, 어떤 녀석이 나한테 성서를 던졌어! 아주 신성한 성서를.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/dd7ddb48772fe97d89fb0520fd31363b54ee1e53e5f5bf8724440a8909777780.png"	[57738]
48607	1	"48607-landscaping"	2	[]	4	5	1127	1	"Sam Hogg"	3	"조경 작업"	"2/2 나무정령을 둘 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6e9848196f21084aee2593182a3365e86998577f634a8aeea1f75919ed6d6931.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/67eaab4fb78be889a24b305939e6112094d2f16321253e24f1fdb8496322e781.png"	"여기에 방긋방긋 웃는 나무를 심어주고... 그 옆에 친구도 만들어 줘 볼게요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/da85cf43394d111540340a289b480e484ca5f4daf0f6a87042248db518133bac.png"	[358]
90683	1	"90683-harmonic-pop"	6	[]	5	5	1809	3	"Vika Yarova"	6	"조화로운 팝"	"모든 하수인에게 피해를 3 줍니다. 6/6 팝스타를 소환합니다. <i>(매 턴마다 바뀝니다.)</i>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3c79425474c9aed3d69056b310ee63a33d4751d54b71c819b74157d27f47d765.png"	""	"노래면 노래, 춤이면 춤, 랩이면 랩! 3인조 걸그룹의 환상적인 팝송!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6d89760a5e7778d5c62587dc7fc9346bcc320d38ac8b78380759f922dc5059a3.png"	[97461,97459]
88403	1	"88403-harmonic-hip-hop"	7	[]	6	5	1809	3	"Patrik Bjorkstrom"	2	"조화로운 힙합"	"피해를 1 줍니다. 내 무기에 공격력을 +3 부여합니다. <i>(매 턴마다 바뀝니다.)</i>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8e9f76b174a56881b948ad37ae014671cdb521c8faf203f33d947277cfa55001.png"	""	"오렌지와 운율이 맞는 단어라면 네 개나 댈 수 있어요. 엄지, 검지, 가지, 어... 전자렌지."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ccc2a7fe2774c4872a5c1bce39ed782103c2f20e49399b5a053860dcfd270a74.png"	[90921]
2785	1	"2785-astral-communion"	2	[]	1	5	15	4	"Christopher Moeller"	4	"천공의 교감"	"마나 수정을 10개 얻습니다. 내 손에 있는 카드를 모두 버립니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cb266611950f63647ba8e8bbc30cef00147c1850e86c27c5a6df1c268583013f.png"	""	"모든 것을 얻었지만 모든 것을 잃었다는 게 이런 느낌입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2ffb0c5a821baf2063ed490a2cafdb691381f65acf9c1eb1bfe25bc6000a8b0c.png"	[1725]
56899	1	"56899-metamorphosis"	14	[]	7	5	1414	5	"Alex Horley Orlandelli"	4	"탈태"	"내 영웅 능력이 '피해를 4 줍니다.'로 바뀝니다. 2회 사용한 후에, 원래 영웅 능력으로 돌아옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b9d30cce0098fdf3f433e5c494b8d379231ce193e373b9ef9558c849fe31c758.png"	""	"자그마한 애벌레가 아름다운 나비로 탈태하듯, 악마사냥꾼 또한 파멸과 혼돈을 불러오는 끔찍한 괴물로 탈태한답니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d7f03bdccf55e311b3008c734fd7ebb3f2fb8cb5642469c935156b76628a7b85.png"	[56876,56877]
