id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	manaCost	name	text	image	imageGold	flavorText	cropImage	keywordIds	copyOfCardId	duels
102203	1	"102203-cheat-death"	7	[]	5	1637	1	"Alex Horley Orlandelli"	2	"구사일생"	"<b>비밀:</b> 아군 하수인이 죽으면, 그 하수인을 내 손으로 다시 가져오고 비용을 (2) 감소시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1920d2f492c400a6a6d018bc95d74f42861dc1948cf596e05d4effa760a8b8d2.png"	""	"목숨이 두 개라니! 이거 완전 사기 아닌가요?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9635bff8b47d720c9ddcc0493d134c64f8b421647ccb5472b9fe45999c539c40.png"	[5]	45520	{"relevant":true,"constructed":true}
102189	1	"102189-wandering-monster"	3	[]	5	1637	3	"Trent Kaniuga & James Martin"	2	"떠도는 괴물"	"<b>비밀:</b> 적이 내 영웅을 공격할 때, 대신 맞아주는 비용이 3인 하수인을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/db0dcddb0549785e0562a915989952572b19aa4dfd76dc0df43362e80726fe5a.png"	""	"떠도는 자가 모두 길을 잃은 것은 아니...지만 이 괴물은 길을 잃은 게 분명합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cd3f7e51b03324b0bd5b8681516514068d30a35806b0df65a57e7d7fc057809b.png"	[5]	43359	{"relevant":true,"constructed":true}
102192	1	"102192-doggie-biscuit"	3	[]	5	1637	3	"Jialuan Li"	2	"멍멍이 간식"	"<b>교환성</b>, 하수인에게 +2/+3을 부여합니다. 내가 이 카드를 <b>교환</b>한 후에, 아군 하수인에게 <b>속공</b>을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7419155c7e86fe7861789889e65289bef4e58dec9d50774aa8d5f025f9c072ba.png"	""	"에드윈이 아끼는 소형견의 간식입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5091befb3d252c21e1f30035483bbab0053526dd51854a14f557f251b60b9248.png"	[53,97]	65603	{"relevant":true,"constructed":true}
97333	1	"97333-heavy-plate"	10	[]	5	1637	1	"Matt Dixon"	3	"무거운 판금"	"<b>교환성</b> 방어도를 8 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/194256698b5524a7b13b7d101f4eab9c66b1b6a94b7db088bf63930b4887ea57.png"	""	"\"휘지도 않고 꿈쩍도 않는 방어구를 원하셨잖아요. 왜 짜증이신 거죠?\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c247f22890ddd5b1edbdc1544d7542be5478d79ddf40d87af31a7bbdd7756e55.png"	[97]	65656	{"relevant":true,"constructed":true}
102246	1	"102246-ancestral-knowledge"	8	[]	5	1637	1	"Zoltan & Gabor"	2	"선조의 지혜"	"카드를 2장 뽑습니다. <b>과부하:</b> (1)"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c6a40afb5e8d07bd99866f0742855649459a2bc4906b3ce15c8239e3b68b6152.png"	""	"엄마아아아아아아아아!!!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b5cb56dd44c92ebb5bf20aec568ad76a276e209bb514930d5dae0d49901847bd.png"	[14]	2514	{"relevant":true,"constructed":true}
69684	1	"69684-spectral-sight"	14	[]	5	1637	1	"Jakub Kasper"	2	"영혼 시야"	"카드를 뽑습니다. <b>추방자:</b> 카드를 추가로 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/da24aa10d08d04986295c58023ded1cebad1b436d1d919f781d93af5951b846e.png"	""	"영혼의 시야로도 오른쪽에서 어떤 카드가 뽑힐지는 알 수 없는 모양입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f14b6e14a5ddad0bb0d198fe1e37911336ca0c72e243409fa304b7f7c4dad0c4.png"	[86]	58453	{"relevant":true,"constructed":true}
97377	1	"97377-illidari-studies"	14	[]	5	1637	1	"MAR Studio"	1	"일리다리 탐구"	"<b>추방자</b> 카드를 <b>발견</b>합니다. 내 다음 <b>추방자</b> 카드의 비용이 (1) 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/99b221b943876eab6e13815d32dde1eefcf12666fb1ed90e4e9f65a5f2892ec3.png"	""	"\"운전할 땐 책 읽지 마세요.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c88b952db56d5385c5efaa79908e8deef704bdcc6a1a1cff482e6b6094071b56.png"	[21,86]	61939	{"relevant":true,"constructed":true}
102205	1	"102205-eviscerate"	7	[]	5	1637	1	"Ariel Olivetti"	2	"절개"	"피해를 2 줍니다. <b>연계:</b> 대신 피해를 4 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5fd4128f33de30319d2cbf2e61e737fa9d2464d36287b670a223f19466aed20a.png"	""	"단점이 없는 건 아닙니다. 팔꿈치를 삐끗할 수가 있다고요!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/49a2198095ef16735539709e96c1d01779a188541e0ec27bfba40a548f472cde.png"	[13]	904	{"relevant":true,"constructed":true}
76300	1	"76300-marked-shot"	3	[]	5	1637	1	"Alex Garner"	4	"징표 사격"	"하수인에게 피해를 4 줍니다. 주문을 <b>발견</b>합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ef5555e6635b4e153bb35643a3f595470429038bf281ce4849e2290d014b656e.png"	""	"해골 점사요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d98cab1327d13816aed81b94e5f442ffc302206653f3eb75692ff5e1b1558339.png"	[21]	52070	{"relevant":true,"constructed":true}
102207	1	"102207-overdraft"	8	[]	5	1637	4	"Wayne Wu"	1	"초과 인출"	"<b>교환성</b> <b>과부하</b>된 내 마나 수정을 모두 잠금 해제하고, 그만큼 피해를 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5ad023ce7cc88c0e903f93c403645d8d5bcc592a30af029dec8085096d3510e5.png"	""	"어라? 내 마나 다 어디 갔지?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/52d327b77bdcbe2321f05b7321a2841ad2abbe0e3b325f33d4e1a290d5376ac6.png"	[14,97]	64773	{"relevant":true,"constructed":true}
69545	1	"69545-tracking"	3	[]	5	1637	3	"Mauro Cascioli"	1	"추적"	"내 덱에서 카드를 <b>발견</b>합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/87d15b05e8a9d6ac874fb1a06b62c3a78ef4f6b039eb254f1b775ff9ffaf2906.png"	""	"어떤 카드를 덱에 넣어야 할지 결정 못 하는 소심한 분들을 위해!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/15c6e78b6d689d289cc03744fba6e4165de6aa2d43ca1f6af462351ce21fcdef.png"	[21]	1047	{"relevant":true,"constructed":true}
