id	collectible	slug	classId	multiClassIds	spellSchoolId	cardTypeId	cardSetId	rarityId	artistName	manaCost	name	text	image	imageGold	flavorText	cropImage	copyOfCardId	duels
69622	1	"69622-shadowstep"	7	[]	6	5	1637	1	"Graven Tung"	0	"그림자 밟기"	"아군 하수인을 내 손으로 다시 가져옵니다. 그 하수인의 비용이 (2) 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cbc6e3d3fb20315d422a601fd503d227497dc5758c9e0b05e3fb30274db10b85.png"	""	"도적 무용단은 가끔 공연의 마지막을 그림자 밟기로 장식하곤 합니다. 관객들의 호응이 엄청나거든요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cc8d29eeeee7c6236f38507c5a2b14be7ff8efcec4c155c7d7499ef67ead2070.png"	365	{"relevant":true,"constructed":true}
69635	1	"69635-twisting-nether"	9	[]	6	5	1637	4	"Dave Allsop"	8	"뒤틀린 황천"	"<b>모든</b> 하수인을 처치합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/be70ae72777ab48a08c67314a9184c32350553a3417bcfe5be2a2f20b19c6015.png"	""	"뒤틀린 황천은 마법과 환상, 죽은 하수인들로 가득한 형태 없는 공간입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/830bb0b3dd7ba8300c4bb6767e1a40bec4d5aae23734744a3a5dca21554e0f6b.png"	859	{"relevant":true,"constructed":true}
69522	1	"69522-deadly-poison"	7	[]	4	5	1637	1	"Trevor Jacobs"	1	"맹독"	"내 무기에 공격력을 +2 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2c281d211a95ae8f01d53755eac195454297bc8d3856e8ca0e409de3da667f7b.png"	""	"도적들의 독 제조술은 극비 사항입니다. 마법사들이 주문에 사용 못 하게 하기 위해서죠. 맹독 화살? 맹독의 비? 맹독 정령? 생각만 해도 끔찍하군요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7b1f8e9abc1154c229a63e67dca24ced53bd8e1f54288822cac60ab948c45eb8.png"	459	{"relevant":true,"constructed":true}
95688	1	"95688-defile"	9	[]	6	5	1637	3	"Dave Allsop"	2	"모독"	"<b>모든</b> 하수인에게 피해를 1 줍니다. 하나라도 죽으면, 이 주문을 한 번 더 시전합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d9797177e2237e9b57261c998f7b3e40110de3e6d5bbde33ad3bccefe77dfd59.png"	""	"연쇄 소용돌이마라고 들어보셨나요?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2805fbb1581c53ed5561cb881dcd86b841cabcf0b1995a5f3312b0884fef203d.png"	42471	{"relevant":true,"constructed":true}
69698	1	"69698-shooting-star"	4	[]	1	5	1637	1	"Konstantin Turovec"	1	"별불꽃"	"선택한 하수인과 그 양옆의 하수인들에게 피해를 1 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/532ff865ec6f6f4d4fd803a28f0b9077157b1c443abf65069705434a39993bda.png"	""	"악마가 들끓는 어딘가에서 본 적이 있는 것 같습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/20d85e62a2ee703b06e622e0076d6963be9d0a5d1de9f8d0454db4f19f7a27a5.png"	49081	{"relevant":true,"constructed":true}
76272	1	"76272-pyroblast"	4	[]	2	5	1637	4	"Luca Zontini"	10	"불덩이 작렬"	"피해를 10 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9bc84b8f8fbffc0cf350c6788aab3b0b4567d7fea500b74cbffc51dd18e6f7da.png"	""	"이 카드를 뽑으면 잠시 시간을 내어 한 번 사악하게 웃어주십시오."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/de5b0f83e8a1735030914bb1015a67fadc5d7d48423851e8c223400f11c2ea66.png"	1087	{"relevant":true,"constructed":true}
97375	1	"97375-firelands-portal"	4	[]	2	5	1637	1	"Gustav Schmidt"	7	"불의 땅 차원문"	"피해를 6 줍니다. 비용이 6인 무작위 하수인을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2483f9556c67b58237fdde5713166f3bb90c85de16cbadc51eb6640e9521a86b.png"	""	"불의 땅으로 오세요! 심연의 구렁보다 <i>훨씬</i> 아름다운 곳이랍니다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/127fa9d18bbe7cf42b11e81177b6165f9ae7ec221451698566d7d85172aa75a9.png"	39715	{"relevant":true,"constructed":true}
76306	1	"76306-flash-of-light"	5	[]	5	5	1637	1	"Zoltan Boros"	2	"빛의 섬광"	"생명력을 4 회복시킵니다. 카드를 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a18d1f775466a77d4b8a0757d9b5b1a805cfdb5931376a6f07921ca84ce4fa08.png"	""	"잠깐! 카메라 가지고 들어오시면 안 됩니다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/31ad4d03cf574d4b99a42a544f2f1a56a3abf2c62e8b78729bef90fbca9b9c43.png"	50028	{"relevant":true,"constructed":true}
86534	1	"86534-lightbomb"	6	[]	5	5	1637	4	"Luca Zontini"	6	"빛폭탄"	"<b>모든</b> 하수인이 자신의 공격력만큼 피해를 받습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/998f3b2556e8dbbebf8c1424d0dded88b2dc20dd2bed81b6987b89a4b37d8317.png"	""	"고블린이 사제가 되게 놔두면 이렇게 되는 겁니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d868dda12505fc656c0b85461b218647da806648791fb2212613da6ab8c0065e.png"	1938	{"relevant":true,"constructed":true}
69509	1	"69509-holy-smite"	6	[]	5	5	1637	1	"Steve Ellis"	1	"성스러운 일격"	"하수인에게 피해를 3 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f86a0146f2fb18940f6d6be9d8e23d1c4e273224138015304bad977da6434c47.png"	""	"생각은 성스럽게, 주먹은 상스럽게."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8a768f73ec6d919f924981a4f1a4ae0d5b8a8f9d00fe55c32efb82523753ee31.png"	279	{"relevant":true,"constructed":true}
