id	collectible	slug	classId	multiClassIds	spellSchoolId	cardTypeId	cardSetId	rarityId	artistName	manaCost	name	text	image	imageGold	flavorText	cropImage	keywordIds	duels
63114	1	"63114-mark-of-the-spikeshell"	2	[]	4	5	1525	3	"Peter Stapleton"	2	"가시껍질의 징표"	"하수인에게 +2/+2를 부여합니다. 그 하수인에게 <b>도발</b> 능력이 있으면, 그 카드를 복사하여 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/62aa6e2fe03c68b218b78da5d6dec3ef902e079ecf41ce41a219960e7ddf23a1.png"	""	"\"나도 거북이 모임에 끼워 줘!\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ce8eb6e79b048add629355307eb5c98ea5525027dda373dfc33004de5930de92.png"	[1]	{"relevant":true,"constructed":true}
299	1	"299-forked-lightning"	8	[]	4	5	3	1	"Ralph Horsley"	1	"갈래 번개"	"무작위 적 하수인 둘에게 피해를 2 줍니다. <b>과부하:</b> (2)"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ca32ab103604bb9a25fd68362771f27e247c5327b4d202a6cead2f69fb1800b1.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1d5990c48d4191f603481ea936f267e8c3331048b5d010e3b49bb36ead1c4366.png"	"올래 번개와 짝을 이루는 주문입니다. 무슨 말인지 모르겠다고요? 다행이네요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e898d235ec48bfd51c2b525c843d10706c2318d10cf742fccccb0a5b7aa5c0ff.png"	[14]	{"relevant":true,"constructed":true}
38329	1	"38329-infest"	3	[]	4	5	21	3	"Anton Zemskov"	3	"감염"	"내 하수인들에게 \"<b>죽음의 메아리:</b> 무작위 야수를 내 손으로 가져옴\" 능력을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b34c2c3e9d949ba1d72326b35a1e979416ed1d1e7cdd382f0fac1a64ba9b4efd.png"	""	"가끔은 왕 크루쉬처럼 자신의 몸집보다 큰 야수가 나올 때도 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/305ddc261f4e0015bab88ef8534e7b898da3eb87e65b4984d0943ef6002bbbd9.png"	[12]	{"relevant":true,"constructed":true}
195	1	"195-mirror-entity"	4	[]	1	5	3	1	"Raven Mimura"	3	"거울상"	"<b>비밀:</b> 상대편이 하수인을 낸 후에, 그 하수인을 복사하여 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5e394b1d71bc68d2499a9c64e7a0172cb70df56020e19158b7a2519dd013f336.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/465a5679f9649ff423d9eb309d829cd0778e115195aa46276cbc272e6de4df75.png"	"\"네가 앞장서라.\" - 거수 크루쉬고르가 그의 애완동물 멧돼지에게 명령하며."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/190268053ccb218689b81088904053103b227fdfe02323f986c4be19e06da94c.png"	[5]	{"relevant":true,"constructed":true}
54772	1	"54772-ancient-mysteries"	4	[]	1	5	1158	1	"Jim Nelson"	2	"고대의 비밀"	"내 덱에서 <b>비밀</b>을 뽑습니다. 그 비밀의 비용이 (0)이 됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0e166198b00fa2456f211dfbd29a09a4560f70022d4ea25e3abdf67ac167bea9.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/239713e12f1c5ad5e468ae9b7ffafbc9e29d4503efab7e1b539975b93998ef6c.png"	"상상도 못한 비밀 ㄴㅇㄱ"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e5e84337af90319730bafad652891703d21a8ac90a47175bc337abe178274423.png"	[5]	{"relevant":true,"constructed":true}
52255	1	"52255-icicle"	4	[]	3	5	1635	4	"Arthur Gimaldinov"	2	"고드름"	"하수인에게 피해를 2 줍니다. 그 하수인이 <b>빙결</b> 상태라면, 카드를 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/49618696be5df19160a9a1015ddce02eb16bdc199bd1e4b944c2331fc99ddda8.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bb086c66a0339297b85605b3da3b467ab6b1ddf4136ee29acf058cd494b348f2.png"	"첫인상은 차갑지만, 알고 보면 참 괜찮은 주문입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d7d755f28e830fe0fed32f167d128db4042b3ecbc04667b7fa296320e02b8cda.png"	[10]	{"relevant":true,"constructed":true}
64392	1	"64392-void-shard"	6	[]	6	5	1578	1	"Steve Nelson"	4	"공허의 파편"	"<b>생명력 흡수</b> 피해를 4 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7515f85b4efa1b0344ddeca926a7b3e2afa5bbcd9451f0a48f2cb858c0035288.png"	""	"빛의 파편과 공허의 파편. 무엇을 선택하시겠습니까?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5447578343694dfd85128a5a0eb69d3483330bf5c8d5db5e66a3343bbe1b2a61.png"	[38]	{"relevant":true,"constructed":true}
58791	1	"58791-gift-of-luminance"	5	[5,6]	5	5	1443	3	"L. Lullabi & K. Turovec"	3	"광휘의 선물"	"하수인에게 <b>천상의 보호막</b>을 부여한 후, 그 하수인을 복사하여 1/1 하수인으로 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a684ec1447d402bc19a1c2bd54b85fa3d57295fcee8bb35a84ff6fb428455150.png"	""	"이 순간을 기념하기 위해 이 안에 조그마한 당신의 모형을 넣었습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f55ae7648d9045d89340f92c2d83eb3f6c0953c20149267920ff022ad1f59cb2.png"	[3]	{"relevant":true,"constructed":true}
140	1	"140-redemption"	5	[]	5	5	3	1	"Ittoku"	1	"구원"	"<b>비밀:</b> 아군 하수인이 죽으면, 생명력이 1인 상태로 다시 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5b2bc5ba76bec3807547cf6670ab316c92d412063386c9baac1e35a3226763e5.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c0c699683c1b0766a91df67e530b671744042277a4fd659c4acfd53638672355.png"	"죽었다 살아나서 그런지 몸이 예전같지 않군요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/09f31f941904259d0a608c73cf4fd5a04e42ae3a3ac62691da1615a4d3df2bf3.png"	[5]	{"relevant":true,"constructed":true}
41521	1	"41521-tidal-surge"	8	[]	4	5	27	1	"Max Grecke"	3	"굽이치는 파도"	"<b>생명력 흡수</b> 하수인에게 피해를 4 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/dc7f2cae29b1106f6533e4f72ab451b0466cfa6dc733b1b0833d26933c930b28.png"	""	"이 파도 속에는 진짜 강력한 놈들이 들어 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e46bf188d1ad5d9f93f75de58b148464710a44810f0a288d2a495cd9f6454aea.png"	[38]	{"relevant":true,"constructed":true}
