id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	manaCost	name	text	image	imageGold	flavorText	cropImage	keywordIds
97363	1	"97363-stranglethorn-heart"	3	[]	5	1809	5	"Mooncolony "	8	"가시덤불 심장"	"<b>교환성</b> 비용이 (5) 이상인 모든 아군 야수를 부활시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2fdded74c5d6128a2d0400de620f20d00f75b41f22bc339846e3d4e770b77381.png"	""	"사냥퀘 깨기 어려웠죠? 그래서 리젠시켜 드렸습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8995abe54d87b0836dbfa6eb8cc9e0648e0c94a9f0d207b2d62dff3021a25615.png"	[97]
2648	1	"2648-competitive-spirit"	5	[]	5	15	3	"Jim Nelson"	1	"경쟁심"	"<b>비밀:</b> 내 턴이 시작될 때, 내 하수인들에게 +1/+1을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f91d51295d4a01b4f99aa6d1756a7c22f0f3b4af85293916953107ea1f8cd564.png"	""	"경쟁에서 이기는 방법은 두 가지입니다. 내 실력을 연마하거나 경쟁자를 모두 죽이는 거죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d38debc9bc08399f28da9e1e7eaa1939314f44b1601aecbc28875dc05b821bb3.jpg"	[5]
2754	1	"2754-bolster"	10	[]	5	15	1	"Mishi McCaig"	2	"고무"	"아군 <b>도발</b> 하수인들에게 +2/+2를 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b27a0c0ba609aeeb5bef27713ace964885ef3ef5eb888f63fceb3ba6e3932894.png"	""	"고무고무 총난타!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/37a09fd34ddbbfbc5fe2d1048c587a1a4010e5f0572cf395dfb9e759dfe245c0.jpg"	[1]
48770	1	"48770-goblin-prank"	3	[]	5	1127	4	"Mike Azevedo"	2	"고블린의 장난"	"아군 하수인에게 +3/+3과 <b>속공</b>을 부여합니다. 턴이 끝나면 그 하수인은 죽습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/68cf876f5dd64ecb8dace6f4aa3b397c2176786afc05f007ef96fab36923d3ca.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/23f03934904644d0b29cac7918b82a00b79592e8bb585ddc7c3082e38251f27f.png"	"\"하하! 속았지?! ...야, 괜찮아?\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8e6acf7fd8bda133c682565d4ea51197376bfdfbe7f2a74c4e150cbf372d3563.png"	[53]
58201	1	"58201-skull-of-guldan"	14	[]	5	1414	3	"Slawomir Maniak"	6	"굴단의 해골"	"카드를 3장 뽑습니다. <b>추방자:</b> 그 카드들의 비용을 (3) 감소시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/084af71876bcb443f13000a3cb15be7e02d4bee0d7f1c03b70a57073b5039e4f.png"	""	"\"끝없는 사악함과 기막힌 교활함을 가진 친구였어. 천 번도 넘게 자신의 동족을 배신했지만, 지금은 이렇게 되어버렸다니. 상상하는 것만으로도 소름 끼치게 싫은 녀석이야.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e39e94a33c753aab1248ce3370653ea915a8cfab15ea541f32c3c3db53dd7a8f.png"	[86]
97361	1	"97361-infinitize-the-maxitude"	4	[]	5	1809	5	"Konstantin Porubov"	2	"극한 반복"	"주문을 <b>발견</b>합니다. 그 주문의 비용이 (1) 감소합니다. <b>피날레:</b> 턴이 끝나면 이 카드를 내 손으로 다시 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6cce47706b86e2ad601c9883e89f116d683acb82e56df50f1a6bf0054cd29a29.png"	""	"MR에서 가사가 들리면 그게 더 이상한 겁니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/dee6927ec2217de8e7f748960245fd9cf506d23370ebb0ce5689fcfde6816ecc.png"	[21,255]
95394	1	"95394-funnel-cake"	6	[2,6]	5	1809	3	"BOSi Studio"	1	"꼬불꼬불 케이크"	"하수인과 그 양옆의 하수인들의 생명력을 3 회복시킵니다. <b>초과 치유</b>한 하수인의 수만큼 마나 수정을 회복합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d69d9971f44db864edd3f59bad13071f183ba65302fb06a0c4de3647ef334cda.png"	""	"나오기까지 오래 걸린 만큼 양이라도 많이 줄 줄 알았죠!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5c3c5e952f2370720583f2e61fa0b91aa21b0ee4d64b9506a970c7cdc6975102.png"	[256]
40566	1	"40566-stolen-goods"	10	[]	5	25	3	"Mark Gibbons"	2	"도난당한 물품"	"<b>도발</b> 하수인을 뽑습니다. 그 하수인에게 +2/+2를 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3d0acf10684e72e0a8dbbea5c68621812913b6752003a968b409cbbb82154cea.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f3a54a25b98dda087a1d8e166c61359e62f426c2b9edd61ae6b6ef41f45111ae.png"	"어떤 짐꾼 코도가 떨어트리고 간 거라고. 정말이라니까!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7fd15a8b9b8a35f8286863370ece169f453d3e66936b5224878725c568e06978.png"	[1]
102567	1	"102567-disco-at-the-end-of-time"	4	[]	5	1898	4	"Vlad Botos"	6	"디스코와 시간의 끝"	"무작위 과거의 <b>비밀</b>을 다섯 시전합니다. 내 턴이 시작될 때, 그 비밀들을 파괴합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/afa84251c5986a7c7a77bc12a53625fcc74df4dc003dd244ed3ffdcb422062ba.png"	""	"비밀의 라스트 댄스!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5a557f7bfe162af16836efac506a0337ce31a97f477f502498bca45a7758b2bc.png"	[5]
48803	1	"48803-unexpected-results"	4	[]	5	1127	4	"Jakub Kasper"	3	"뜻밖의 결과"	"비용이 2인 무작위 하수인을 둘 소환합니다. <i>(<b>주문 공격력</b>에 따라 더욱 높은 비용의 하수인 소환)</i>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5d0742f8e36657220fb2b22137d0acdbea6e580499b563a12d9879815110608e.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8133e77f552e1653cd0a6f179adaa76295f31183c8349b4c792225d480a419cc.png"	"과학은 과학이라기보다 예술에 가깝습니다. 높으신 분들은 그걸 몰라요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e058dbd1ab26e87f357ad62d1ab0e9f5352b4b72c5124c7350aa324d896fb778.png"	[2]
