id	collectible	slug	classId	multiClassIds	spellSchoolId	cardTypeId	cardSetId	rarityId	artistName	manaCost	name	text	image	imageGold	flavorText	cropImage	childIds	keywordIds	duels
63021	1	"63021-thorngrowth-sentries"	2	[]	4	5	1525	1	"Sean McNally"	2	"가시성장 파수병"	"<b>도발</b> 능력이 있는 1/2 거북이를 둘 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c67f4743394ac1a118956bbdea59c942f5acec3b1db281777067834538195db0.png"	""	"이 오아시스 물을 더 마시면 안될 것 같아..."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/46bc48e3ddfe404b1b6c2ac929875c83eab970baa40b6bfe1b23eeb2b95e9781.png"	[63026]	[1]	{"relevant":true,"constructed":true}
42649	1	"42649-webweave"	2	[]	6	5	1001	1	"Matt Dixon"	5	"거미줄 짜기"	"<b>독성</b> 능력이 있는 1/2 거미를 2마리 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/92e80bd372088c961259edf3ff3293213f26b527186164cf7ceabe1094d5be7b.png"	""	"뒤엉킨 거미줄을 짜면서 남은 건 두 마리의 거미뿐이더라."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c28721c83ed62996e81d6f9a7225f946cd2ce37b2a52cbdf1668118fa6a93822.png"	[45302]	[32]	{"relevant":true,"constructed":true}
54426	1	"54426-plague-of-madness"	7	[]	6	5	1158	3	"Matt Dixon"	1	"광기의 역병"	"각 플레이어가 <b>독성</b> 능력이 있는 2/2 단검을 장착합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6c310487a56ef474717c8e8dc5c7d118af18e8a866165cf9a31c83fdc489421b.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b42d5f5dd3311c14c66b0610bdf438be2ab2631ef85155aa2086fc42bfb44ab1.png"	"조금만 빗겨가면 서로에게 치명타!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/49770552dd2cedec44e26a0a6ac0c4845897c07c51e419fdb0554846e4338fbb.png"	[55244]	[32]	{"relevant":true,"constructed":true}
73471	1	"73471-miracle-growth"	2	[]	4	5	1658	1	"Tanamaes Leejiarasaes"	8	"기적같은 성장"	"카드를 3장 뽑습니다. <b>도발</b> 능력이 있는 식물을 소환합니다. 능력치는 내 손에 있는 카드 수와 같습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/de0cc7a90e1ad60f9a2836fa978db27eb2650effa14657c2943b340bca6d868a.png"	""	"대체 뭘 먹으면 이렇게 폭풍성장 할 수 있는 걸까요?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f357adfad65da704bf687b55fc85cf2e2b57fe65d5da0bef3c136c9ed7d79005.png"	[78670]	[1]	{"relevant":true,"constructed":true}
70005	1	"70005-build-a-snowman"	4	[]	3	5	1626	3	"Moon Colony"	3	"눈사람 만들기"	"적을 <b>빙결</b> 상태로 만드는 3/3 눈사람을 소환합니다. \"눈싸움꾼 만들기\"를 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c4c9d7c25ec3dd6aa1cb26fe1f9f2b5ae2789baba1dab8eaa85a9cb4ea50053c.png"	""	"구르기 시작한 눈덩이만큼이나 멋진 주문입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/32412e7a86d27781bfe8ceb73c5f828a20a186284e25f8876302a1a4e1f8a42a.png"	[70007,70009,70006,70008,70010]	[10]	{"relevant":true,"constructed":true}
73462	1	"73462-flipper-friends"	2	[]	4	5	1658	1	"Matt Dixon"	5	"바다 동물 친구들"	"<b>선택</b> - <b>도발</b> 능력이 있는 6/6 범고래를 소환합니다. 또는 <b>속공</b> 능력이 있는 1/1 수달을 여섯 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fd0f2523e7a8eacde4302daf15bf7ad895599526f751238fc8676898ea8a3830.png"	""	"비록 바다 아래는 척박할지 몰라도, 친구들을 사귈 수 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/07f9b4c96be844e94f2b54f6d13d1d42d5297de041fa66060ed23f6bb6738751.png"	[73463,73553]	[1,53]	{"relevant":true,"constructed":true}
46303	1	"46303-unstable-evolution"	8	[]	4	5	1004	4	"Tooth"	1	"불안정한 진화"	"<b>잔상</b>, 아군 하수인을 비용이 (1) 높은 하수인으로 변신시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/839d41ec05d6a977c1f1820b3ea9303a90a8932f5fbc9439a16452c74267dc94.png"	""	"자신보다 약한 자의 명령은 듣지 않는 법입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1f0fa8405041bfbcf1c0ecc0ca717aa70c6dcc077b1c1a556cb6212a73648bce.png"	[45904]	[52]	{"relevant":true,"constructed":true}
84428	1	"84428-arcane-defenders"	4	[]	1	5	1776	3	"Konstantin Turovec"	8	"비전 수호자"	"<b>도발</b>과 \"주문이나 영웅 능력의 대상으로 지정되지 않음\" 능력이 있는 5/6 골렘을 둘 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/31dad21bea64996089f1c0c796c1993eb1601fee0fe9ef7457a992faa5cf0182.png"	""	"*비전 전지는 별매입니다.*"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f8acf8d768be17495ae88e7c4bd16545e81978b7281bfcd5965b41368cbbb264.png"	[84427]	[1]	{"relevant":true,"constructed":true}
766	1	"766-hex"	8	[]	4	5	1635	2	"Steve Hui"	3	"사술"	"하수인을 <b>도발</b> 능력이 있는 0/1 개구리로 변신시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ae580a5cf6706773bada3a1ba15a1af71b7667140762099eafbb617daf00f6a8.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/89c763f45cc5db78265e2388be1bfd4af0b2d4b21ee34e94c6bd6c6b1c2f2c13.png"	"멀록에게 사술을 써보셨나요? 네, 외관 상 큰 변화는 없을 겁니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d3c1ec46dfffdf70c140b24c0e62d59b61a7b706eb8dc8b7d26ed8b8594cd21c.png"	[548]	[1]	{"relevant":true,"constructed":true}
61283	1	"61283-auspicious-spirits"	6	[]	6	5	1466	3	"Forrest Imel"	4	"상서로운 영혼"	"비용이 4인 무작위 하수인을 소환합니다. <b>타락:</b> 대신 비용이 7인 하수인을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8472434eacd90c987459e23c8b7fcf44dd0fe0cf2b39ac70ee680cff8cfc096c.png"	""	"상서로운 영혼이지만 하는 짓은 영 상스럽기만 합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fbc95ed21818e5898f2caec00fecbb0bb18455d4e4e3a757bd940e5fe6bf1e49.png"	[61668]	[91]	{"relevant":true,"constructed":true}
