id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	manaCost	name	text	image	imageGold	flavorText	cropImage	keywordIds	copyOfCardId
69900	1	"69900-forked-lightning"	8	[]	5	1646	1	"Ralph Horsley"	1	"갈래 번개"	"무작위 적 하수인 둘에게 피해를 2 줍니다. <b>과부하:</b> (2)"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7aceeb770f963f80aa68ca171b1b96936da24b874f2c0b638705adcf417e3273.png"	""	"올래 번개와 짝을 이루는 주문입니다. 무슨 말인지 모르겠다고요? 다행이네요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e898d235ec48bfd51c2b525c843d10706c2318d10cf742fccccb0a5b7aa5c0ff.png"	[14]	299
69910	1	"69910-mirror-entity"	4	[]	5	1646	1	"Raven Mimura"	3	"거울상"	"<b>비밀:</b> 상대편이 하수인을 내면, 그 하수인을 복사하여 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9e629361cc385f42c338cf1bfacf05a0562d584373fa9f2a5b45dfe294e7ecfd.png"	""	"\"네가 앞장서라.\" - 거수 크루쉬고르가 그의 애완동물 멧돼지에게 명령하며."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/190268053ccb218689b81088904053103b227fdfe02323f986c4be19e06da94c.png"	[5]	195
69749	1	"69749-ancestral-spirit"	8	[]	5	1646	3	"Zoltan & Gabor"	2	"고대의 영혼"	"하수인을 선택합니다. 그 하수인이 처치되면 다시 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/63350d26b4a6b652c68345acaa42a62a942f53b429a0bcfc2427ed386b3d568c.png"	""	"네가 죽은 건 추진력을 얻기 위해서였다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/adef14b2ef3a9a68b343b6f27cb3fed2e9192fec9ecf69b60693703069527011.png"	[12]	404
69861	1	"69861-redemption"	5	[]	5	1646	1	"Ittoku"	1	"구원"	"<b>비밀:</b> 아군 하수인이 죽으면, 생명력이 1인 상태로 다시 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9f6ac0380eb706d9310ca1ca0b6e25086c34594faa6ac941ee0dea33ad3b9b62.png"	""	"죽었다 살아나서 그런지 몸이 예전같지 않군요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/09f31f941904259d0a608c73cf4fd5a04e42ae3a3ac62691da1615a4d3df2bf3.png"	[5]	140
69904	1	"69904-cone-of-cold"	4	[]	5	1646	1	"Leo Che"	4	"냉기 돌풍"	"선택한 하수인과 그 양옆의 하수인들을 <b>빙결</b> 상태로 만들고 피해를 1 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9b803609abdc7b49b53b03f7c8e28188cab602be181b069eb23ec22f4a1fee4f.png"	""	"키린 토 마법사들은 주문 시전의 최신 유행을 선도합니다. 90년 전 마법사들이 냉기 장풍을 쓰는 모습을 본다면, 분명 촌스럽다고 생각하실 겁니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/10a4ea20c54c549b8674ecfa51d784d00375b79f820cd129b0ff42295821289b.png"	[10]	430
68329	1	"68329-frost-shock"	8	[]	5	1646	2	"Alex Horley Orlandelli"	1	"냉기 충격"	"적 캐릭터에게 피해를 1 주고 <b>빙결</b> 상태로 만듭니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d4b41d658725df64ccde3005895f2d002e1a15fb22f5af7b56b023eb45c29aa3.png"	""	"냉기 충격!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1c99131c73150cee03dff1fe73fcd003ce8df14e99d9343f89dd4dfd7326aa35.png"	[10]	971
69752	1	"69752-cold-blood"	7	[]	5	1646	1	"Alex Horley Orlandelli"	1	"냉혈"	"하수인에게 공격력을 +2 부여합니다. <b>연계:</b> 대신 공격력을 +4 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/dd5df8094b6a6e62e5ce59abbff697b2930714e346adde7e3de374736d4f9b7a.png"	""	"나는야 차가운 도적 남자."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0618e3f1a104443fee211d9cc632c6748e23ff104a7b37c8aa92c6059397aa53.png"	[13]	268
69747	1	"69747-blizzard"	4	[]	5	1646	3	"Chris Seaman"	6	"눈보라"	"모든 적 하수인에게 피해를 2 주고 <b>빙결</b> 상태로 만듭니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1653dee17d5a94a4fffd7d32e45b9740bfc807879269a1e615bc768dd280a2d1.png"	""	"왠지 모르게 정이 가는 이름의 주문입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/20df2e4eb8198e73da36b3e8d5e693055dda65a6c9900c7f7b105b2e557facb4.png"	[10]	457
69963	1	"69963-misdirection"	3	[]	5	1646	3	"Daren Bader"	2	"눈속임"	"<b>비밀:</b> 내 영웅을 공격하는 적이 다른 무작위 캐릭터를 공격하게 됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/607e08d8c5fec356a31b168d823ba8e78439aa4252919472d3a86da1817057b1.png"	""	"가짜 수염을 달고 옆 사람을 가리키는 것만으로도 잘 속아줄 때가 있죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ca816bf689351c43905801f3010203d86fbf7941a6637f8143d66b9bd4ce3e24.png"	[5]	1091
69858	1	"69858-eye-for-an-eye"	5	[]	5	1646	1	"James Ryman"	1	"눈에는 눈"	"<b>비밀:</b> 내 영웅이 피해를 받으면, 적 영웅에게도 같은 피해를 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c7dc67712802b862efc47d47d122b26b1607f24efae6d8430a091c5303b07428.png"	""	"주먹이 정의를 대변할 때도 종종 있답니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/069abbfc7f1eaaac5b6a41c25dc772eaf625adb8ceab3cff26e78d35f366c07c.png"	[5]	462
